id,lat,lon,heading,course,speed,status,mmsi,callsign,imo,length,width,draught,type
158,49.47258,0.1854717,336,274,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
158,49.47258,0.1854717,336,274,0,Underway using Engine,228284800,FLEF,9393709,30.3,10.4,52,Tug
164,41.92509,8.740312,0,327,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.92509,8.740312,0,327,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.92509,8.740315,0,325,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.92509,8.740315,0,325,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.92508,8.740303,0,334,0,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.92508,8.740303,0,334,0,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.9251,8.74029,0,316,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.9251,8.74029,0,316,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.9251,8.740303,0,322,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
164,41.9251,8.740303,0,322,1,Underway using Engine,228285700,FNNY,9462110,23.3,8.24,45,Tug
177,43.39785,4.983767,330,299,0,Underway using Engine,228287800,FNOF,9393711,30.3,10.4,50,Tug
177,43.39785,4.983767,330,299,0,Underway using Engine,228287800,FNOF,9393711,30.3,10.4,50,Tug
178,49.47534,0.1324,279,94,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47534,0.1324,279,94,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.1324283,280,263,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.1324283,280,263,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.132405,279,351,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.132405,279,351,0,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.132405,279,278,1,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
178,49.47535,0.132405,279,278,1,Underway using Engine,228287900,FNOI,9393723,30.3,10.4,53,Tug
203,51.04109,2.361675,207,295,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04109,2.361675,207,295,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04107,2.361683,207,304,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04107,2.361683,207,304,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04107,2.361685,207,292,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04107,2.361685,207,292,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04108,2.361717,207,292,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
203,51.04108,2.361717,207,292,0,Underway using Engine,228293600,FNQN,9393747,30.3,10.4,31,Tug
209,51.03832,2.191627,68,323,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03832,2.191627,68,323,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03832,2.191632,68,327,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03832,2.191632,68,327,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03832,2.19162,67,266,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03832,2.19162,67,266,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03831,2.19162,68,327,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
209,51.03831,2.19162,68,327,0,Underway using Engine,228293700,FNQP,9393735,30.3,10.4,51,Tug
226,44.88808,-0.5326816,203,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
226,44.88808,-0.5326816,203,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
226,44.8881,-0.5326617,204,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
226,44.8881,-0.5326617,204,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
226,44.88807,-0.532635,203,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
226,44.88807,-0.532635,203,50,0,Underway using Engine,228296800,FNQY,9475961,24.99,9.5,48,Tug
227,49.45914,0.5508834,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45914,0.5508834,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45914,0.5509317,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45914,0.5509317,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45915,0.550865,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45915,0.550865,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45914,0.5508817,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
227,49.45914,0.5508817,101,280,0,Underway using Engine,228296900,FNQZ,9434010,24.99,9.5,50,Tug
245,47.7281,-3.362938,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
245,47.7281,-3.362938,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
245,47.72809,-3.362993,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
245,47.72809,-3.362993,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
245,47.72809,-3.362975,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
245,47.72809,-3.362975,231,0,0,Underway using Engine,228301600,FNRM,9244465,27.85,8.5,52,Trawler
246,51.64945,-9.904533,230,273,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64945,-9.904533,230,273,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64944,-9.904533,231,284,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64944,-9.904533,231,284,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64946,-9.90454,231,317,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64946,-9.90454,231,317,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64943,-9.904523,231,295,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
246,51.64943,-9.904523,231,295,0,Underway using Engine,228301700,FNRN,9478731,29.9,10.8,62,Fishing Vessel
302,38.95373,-124.783,307,306,109,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95373,-124.783,307,306,109,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95135,-124.7788,307,306,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95135,-124.7788,307,306,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94901,-124.7748,307,305,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94901,-124.7748,307,305,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95793,-124.7901,307,306,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95793,-124.7901,307,306,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95587,-124.7866,307,307,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.95587,-124.7866,307,307,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93809,-124.7557,307,306,104,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93809,-124.7557,307,306,104,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93587,-124.7518,308,306,101,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93587,-124.7518,308,306,101,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93394,-124.7484,307,305,102,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.93394,-124.7484,307,305,102,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94418,-124.7665,307,305,109,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94418,-124.7665,307,305,109,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94661,-124.7706,307,307,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94661,-124.7706,307,307,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94009,-124.7592,307,305,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94009,-124.7592,307,305,106,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94217,-124.7629,307,306,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
302,38.94217,-124.7629,307,306,108,Underway using Engine,228315600,FNUY,9453559,365.5,51.2,144,Container Ship
320,41.71679,143.195,268,267,157,Underway using Engine,228316800,FNVK,9454395,365.5,51.2,110,Container Ship
320,41.71679,143.195,268,267,157,Underway using Engine,228316800,FNVK,9454395,365.5,51.2,110,Container Ship
320,41.71638,143.1851,267,266,156,Underway using Engine,228316800,FNVK,9454395,365.5,51.2,110,Container Ship
320,41.71638,143.1851,267,266,156,Underway using Engine,228316800,FNVK,9454395,365.5,51.2,110,Container Ship
326,5.703084,2.357283,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.703084,2.357283,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.70275,2.362267,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.70275,2.362267,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.702466,2.367333,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.702466,2.367333,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.702167,2.3725,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.702167,2.3725,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.701883,2.377567,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.701883,2.377567,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.70155,2.383517,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.70155,2.383517,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.703683,2.346433,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.703683,2.346433,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.703367,2.352133,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.703367,2.352133,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704317,2.335917,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704317,2.335917,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704017,2.34115,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704017,2.34115,93,93,170,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.705283,2.319083,93,92,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.705283,2.319083,93,92,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.705,2.324333,93,93,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.705,2.324333,93,93,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704667,2.329967,93,93,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
326,5.704667,2.329967,93,93,171,Underway using Engine,256609000,9HA3963,9409156,154,25.5,54,LPG Tanker
341,39.02183,0.6652,25,27,69,Underway using Engine,228320600,FMBZ,9291602,105.5,16.8,64,Oil/Chemical Tanker
341,39.02183,0.6652,25,27,69,Underway using Engine,228320600,FMBZ,9291602,105.5,16.8,64,Oil/Chemical Tanker
387,4.671785,7.15886,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671785,7.15886,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671767,7.158832,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671767,7.158832,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671797,7.158835,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671797,7.158835,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671815,7.158835,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671815,7.158835,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671773,7.158825,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671773,7.158825,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671807,7.15885,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671807,7.15885,359,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671808,7.158838,358,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
387,4.671808,7.158838,358,285,0,Underway using Engine,657122100,5NXA8,9320934,67.39,15.4,48,Anchor Handling Vessel
